city,state,latitude,longitude
Burlington,MA,42.5,-71.19
Burlington,NC,36.095,-79.4361
Burlington,VT,44.4758,-73.2122
Burnsville,MN,44.7667,-93.2833
Burnt Hills,NY,42.9,-73.9
"Butler, Pa.",PA,40.87,-79.89
Butte,MT,46.0,-112.5333
Byhalia,TN,,
Cabot,AR,34.9667,-92.0167
Cairo,GA,30.8767,-84.2033
Caldwell,TX,30.31,-96.69
Caledonia,MI,42.7833,-85.55
Calgary,CA,51.0447,-114.0719
Calgary,UT,,
Camarillo,CA,34.2167,-119.0333
Cambridge,MA,42.3736,-71.1097
Camillus,NY,43.04,-76.28
Campbell,CA,37.2872,-121.9494
Campton,NH,43.8584,-71.7006
Campton Hills,IL,41.9545,-88.4206
Canby,OR,45.2618,-122.6926
Canoga Park,CA,34.2078,-118.6009
Canton,MI,42.3064,-83.4866
Canton,NY,44.6006,-75.1727
Canton,OH,40.8136,-81.3752
Cape Coral,FL,26.5628,-81.9498
Cape Elizabeth,ME,43.567,-70.2039
Carkesville,GA,34.6176,-83.526
Carlinville,IL,39.2803,-89.8737
Carlsbad,CA,33.1581,-117.3506
Carmel,CA,36.555,-121.9233
Carmel,IN,39.9781,-86.1142
Carnelian Bay,CA,39.1896,-120.0899
Caro,MI,43.4886,-83.4005
Carpentersville,IL,42.1,-88.26
Carrabassett Valley,ME,45.0939,-70.3061
Carrollton,TX,33.0007,-96.8908
Carson,CA,33.8314,-118.2706
Carson City,NV,39.1638,-119.7661
Cartersville,GA,34.1668,-84.7938
Carthage,MO,37.1895,-94.3061
Cary,IL,42.1806,-88.2456
Cary,NC,35.791,-78.781
Cashmere,WA,47.5126,-120.4687
Casper,WY,42.8667,-106.3131
Castaic,CA,34.4989,-118.6259
Castalia,OH,41.4006,-82.8355
Castle Pines,CO,39.45,-104.87
Cazenovia,NY,42.9256,-75.8585
Cedar Grove,WI,43.6069,-87.8487
Cedarburg,WI,43.3939,-87.9937
Celina,OH,40.4806,-84.5794
Centennial,CO,39.5844,-104.8778
Center Conway,NH,44.0084,-71.0967
Ceres,CA,37.5949,-120.9577
Cerritos,CA,33.8583,-118.0778
Chaffee County,CO,,
Chagrin Falls,OH,41.4306,-81.3936
"Chagrin Falls, Ohio",FL,,
Chambersburg,PA,39.9376,-77.6608
Champaign,IL,40.1164,-88.2434
Chandler,AZ,33.3062,-111.8413
Chanhassen,MN,44.8594,-93.5591
Chantilly,VA,38.9093,-77.4369
Chapel Hill,NC,35.9132,-79.0558
Chappaqua,NY,41.1695,-73.7854
Charleston,SC,32.7765,-79.9311
Charlotte,NC,35.2271,-80.8431
Chatham,IL,39.6556,-89.7126
Chatham,NJ,40.7307,-74.3863
Chattanooga,TN,35.0456,-85.3097
Cheektowaga,NY,42.9006,-78.7503
Cheney,WA,47.4863,-117.5799
Cherry Hill,NJ,39.9454,-75.0102
Chesapeake,VA,36.7654,-76.2875
Chester Springs,PA,40.0765,-75.7005
Chesterfield,MO,38.6514,-90.5793
Chesterfield,NH,42.8987,-72.4495
Chesterton,IN,41.6192,-87.0506
Cheswich,PA,40.5706,-79.8092
Chevy Chase,MD,38.9832,-77.0571
Chicago,IL,41.8781,-87.6298
Chicago,WI,,
Chicago Heights,IL,41.5003,-87.6403
Chico,CA,39.7285,-121.8375
Chino,CA,34.0133,-117.6889
Chino Hills,CA,33.9995,-117.7667
Chisholm,MN,47.4916,-92.9038
Chula Vista,CA,32.6401,-117.0841
Cincinnati,OH,39.1031,-84.512
Cinnaminson,NJ,40.0037,-75.0207
Claremont,CA,34.0961,-117.7195
Clarkesville,GA,34.6165,-83.5238
Clarksville,MD,39.1915,-76.9608
Clayton,CA,37.9466,-121.933
Clayton,NC,35.6507,-78.4575
Clearwater,FL,27.9659,-82.8001
Clemson,SC,34.6834,-82.837
Clermont,FL,28.5608,-81.7834
Cleveland,OH,41.4993,-81.6944
Cleveland,TN,35.157,-84.8766
Cleveland Heights,OH,41.5095,-81.579
Clifton,NJ,40.8584,-74.1632
Clovis,CA,36.8252,-119.7025
Cochranville,PA,39.8498,-75.9288
Cohoes,NY,42.7876,-73.7001
Cold Spring Harbor,"N.Y., NY",40.8759,-73.4765
Coleman,WI,45.0744,-88.0209
College Station,TX,30.627977,-96.334479
Colleyville,TX,32.925956,-97.147514
Colorado Springs,CO,38.833882,-104.821363
Colorado Springs,"Colo., SC",,
Colts Neck,NJ,40.320668,-74.159035
Columbia,CT,41.679268,-72.290085
Columbia,SC,34.00071,-81.034814
Columbus,GA,32.460989,-84.912006
Columbus,OH,39.961176,-82.998794
Columbus,WI,43.339433,-89.020946
Commack,NY,40.856762,-73.262619
Commerce,MI,42.560038,-83.47966
Commerce Township,MI,42.57947,-83.49021
Compton,CA,33.89626,-118.22507
Concord,CA,37.97797,-122.03107
Concord,MA,42.46092,-71.35339
Conover,NC,35.73624,-81.20064
Conroe,TX,30.39104,-95.45605
Conyers,GA,33.60011,-84.01852
Cooper City,FL,26.02037,-80.2806
Coopersburg,PA,40.50038,-75.39074
Coppell,TX,32.96095,-96.99057
Coral Springs,FL,26.27147,-80.2706
Coralville,IA,41.68056,-91.59045
Coraopolis,PA,40.50979,-80.15061
Cornell University,NY,42.4473,-76.4839
Cornona,CA,,
Corona,CA,33.87529,-117.56672
Corona Del Mar,CA,33.59002,-117.87006
Coronado,CA,32.6865,-117.1737
Corsicana,TX,32.0887,-96.4686
Corvallis,MT,46.3685,-114.0957
Corvallis,OR,44.5646,-123.2620
Costa Mesa,CA,33.6415,-117.9112
Coteau,LA,29.9860,-91.8026
Cottage Grove,WI,43.0808,-89.2040
Cottonwood Heights,UT,40.6080,-111.8288
Council Bluffs,IA,41.2586,-95.8614
Covina,CA,34.0917,-117.8906
Covington,GA,33.5962,-83.8605
Craftsbury,VT,44.6473,-72.3409
Cranford,NJ,40.6543,-74.2935
Cranston,RI,41.7859,-71.4395
Crested Butte,CO,38.8694,-106.9870
Crofton,KY,37.0092,-87.4097
Crystal Lake,IL,42.2325,-88.3245
Culver City,CA,34.0170,-118.3965
Cupertino,CA,37.3230,-122.0322
Cypress,CA,33.8158,-118.0367
Cypress,TX,29.9708,-95.6805
Cypress Falls,TX,29.9392,-95.6322
Dacula,GA,33.9876,-83.8499
Dallas,TX,32.7767,-96.7970
Dana Point,CA,33.4667,-117.6970
Dane,WI,43.2500,-89.4700
Danvers,MA,42.5765,-70.9320
Danville,CA,37.8216,-121.9994
Danville,IN,39.7645,-86.5242
Darby,PA,39.9212,-75.2538
Darien,CT,41.0765,-73.4804
Darlington,WI,42.8547,-90.114
Darnestown,MD,39.1068,-77.2797
Davenport,IA,41.5236,-90.5775
Davie,FL,26.0798,-80.252
Davis,CA,38.5449,-121.7405
Dayton,OH,39.7589,-84.1916
Daytona Beach,FL,29.2108,-81.0275
DeForest,WI,43.2425,-89.3401
Del Mar,CA,32.9595,-117.2656
Delafield,WI,43.0578,-88.4009
Deland,FL,29.0286,-81.3028
Delano,MN,45.0408,-93.7919
Delcambre,LA,29.9705,-91.9804
Delran,NJ,40.0165,-74.981
Delray Beach,FL,26.4615,-80.0728
Deming,NM,32.2684,-107.757
Denton,TX,33.2148,-97.1331
Denver,CO,39.7392,-104.9903
Denver,PA,40.2376,-76.1266
Des Moines,IA,41.6005,-93.6091
Des Plaines,IL,42.0334,-87.8895
Desert Hot Springs,CA,33.95,-116.5
Detroit,MI,42.3314,-83.0458
"Detroit, Mich.",MI,42.3314,-83.0458
Dexter,MI,42.3314,-83.9786
Diamond Bar,CA,34.0289,-117.8106
Dillon,SC,34.4179,-79.3706
Dix Hills,NY,40.7998,-73.3601
Dixon,CA,38.4457,-121.823
Dothan,AL,31.2232,-85.3905
Douglassville,TX,33.2087,-94.2088
Douglasville,GA,33.7501,-84.7477
Dousman,WI,43.0039,-88.4984
Dover,MA,42.2404,-71.2406
Dover,NH,43.1987,-70.8745
Dover,OH,40.5187,-81.4987
Dover,VT,42.9265,-72.7876
Downers Grove,IL,41.7906,-88.0106
Doylestown,PA,40.3126,-75.1285
Dublin,CA,37.7022,-121.9358
Dublin,TX,32.0835,-98.3406
Dubuque,IA,42.5003,-90.6646
Duluth,MN,46.7867,-92.1005
Dumfries,VA,38.599,-77.3208
Duncanville,TX,32.6401,-96.9064
Dunellen,NJ,40.5926,-74.4504
Dunwoody,GA,33.9457,-84.3305
Durango,CO,37.2753,-107.8801
Durham,NC,35.994,-78.8986
Eagan,MN,44.8047,-93.1677
Eagle,CO,39.6555,-106.8295
Eagle Lake,FL,27.9714,-81.7584
Eagle Mountain,UT,40.3294,-112.0002
Eagle River,AK,61.5908,-149.5708
Eagleville,PA,40.1765,-75.4338
East Aurora,NY,42.7667,-78.6267
East Brunswick,NJ,40.4076,-74.4107
East Montpelier,VT,44.2906,-72.4637
East Moriches,NY,40.8065,-72.7487
East Northport,NY,40.8759,-73.3276
East Palo Alto,CA,37.4749,-122.1472
East Syracuse,NY,43.0673,-76.0666
East Troy,WI,42.7889,-88.4009
Easthampton,MA,42.2709,-72.6904
Easton,MA,42.0676,-71.1045
Eastvale,CA,33.9317,-117.5695
Eatonton,GA,33.3187,-83.3896
Eau Claire,WI,44.8113,-91.4985
Eclectic,AL,32.6457,-86.0075
Eden Prairie,MN,44.8544,-93.4677
Edina,MN,44.8986,-93.3502
Edison,NJ,40.5187,-74.4121
Edmond,OK,35.6528,-97.4785
Edmonds,WA,47.8109,-122.3771
Edmore,ND,48.4075,-98.2098
Edwards,CO,39.6403,-106.5920
"Edwards, Colo.",CO,39.6403,-106.5920
El Dorado Hills,CA,38.6824,-121.0841
El Monte,CA,34.0689,-118.0278
El Paso,TX,31.7619,-106.4850
El Toro,CA,33.6406,-117.6992
Elk Grove,CA,38.4088,-121.3752
Elk River,MN,45.3086,-93.5672
Elkhart,IN,41.6814,-85.9750
Elkins,WV,38.9262,-79.8503
Ellenton,FL,27.5306,-82.5290
Ellicott City,MD,39.2737,-76.7972
Elmhurst,NY,40.7387,-73.8829
Elmira,NY,42.0895,-76.8077
Elmore,VT,44.5670,-72.4837
Elwood,IN,40.2792,-85.8408
Elysian,MN,44.2097,-93.7080
Emmaus,PA,40.5365,-75.4927
Encinitas,CA,33.0360,-117.2920
Enfield,CT,41.9723,-72.5904
Englewood,NJ,40.8904,-73.9779
Erie,CO,40.0389,-105.0500
Erie,PA,42.1292,-80.0851
Escondido,CA,33.1191,-117.0864
Estero,FL,26.4381,-81.8090
Eugene,OR,44.0521,-123.0868
Eustis,FL,28.8500,-81.6800
Eustis,NE,40.6783,-99.7087
Evansville,IN,37.9748,-87.5558
Evansville,WI,42.7900,-89.2900
Eveleth,MN,47.4500,-92.5300
Everett,WA,47.9793,-122.2021
Evergreen,CO,39.6375,-105.3144
Evergreen Park,IL,41.7200,-87.7000
Excelsior,MN,44.9000,-93.5600
Fair Haven,NJ,40.3700,-74.0400
Fair Lawn,NJ,40.9300,-74.1200
Fairbanks,AK,64.8378,-147.7164
Fairdale,ND,48.4900,-98.1200
Fairfax,MO,40.3700,-95.3900
Fairfax,VA,38.8462,-77.3064
Fairfield,CT,41.1400,-73.2600
Fairmont,WV,39.4800,-80.1400
Fairplay,CO,39.2200,-105.9900
Fairpoint,NY,43.1000,-77.4500
Fairview Park,OH,41.4367,-81.8596
Fallbrook,CA,33.3742,-117.2475
Falmouth,ME,43.7362,-70.2456
Fargo,ND,46.8772,-96.7898
Farmington,MN,44.6475,-93.1499
Farmington,NM,36.7281,-108.1962
Farmington Hills,MI,42.4806,-83.3769
Fayetteville,AR,36.0626,-94.1575
Fayetteville,GA,33.4487,-84.4502
Fayetteville,NC,35.0527,-78.8784
Fayetteville,NY,43.0298,-76.0002
Fayettville,GA,33.4487,-84.4502
Fenton,MI,42.7967,-83.7036
Ferndale,WA,48.8498,-122.6004
"Ferndale, Wash.",WA,48.8498,-122.6004
Festus,MO,38.2123,-90.3957
Fishers,IN,40.0003,-86.0147
Flagstaff,AZ,35.1983,-111.6513
Flint,MI,43.0121,-83.6875
Flint,TX,32.2035,-95.328
Florence,MS,32.1485,-90.0915
Florence,NJ,40.1065,-74.8329
Florence,WI,45.9227,-88.2618
Florissant,MO,38.7956,-90.3254
Flushing,MI,43.0567,-83.8472
Folsom,CA,38.6796,-121.1764
Fond du Lac,WI,43.7875,-88.4487
Fort Collins,CO,40.5853,-105.0844
Fort Fairfield,ME,46.7645,-67.8395
Fort Kent,ME,47.2595,-68.5906
Fort Lauderdale,FL,26.1224,-80.1373
Fort Mill,SC,35.0049,-80.9456
Fort Pierce,FL,27.4467,-80.3256
Fort Sill,OK,34.6767,-98.3906
Fort Wayne,IN,41.0793,-85.1394
Fort Worth,TX,32.7555,-97.3308
Fortson,GA,32.6079,-84.8705
Fountain Hills,AZ,33.6003,-111.7204
Fountain Valley,CA,33.7086,-117.9537
Fowler,CO,38.0997,-104.0155
Fowler,IN,40.627,-87.3306
Fowlerville,MI,42.6392,-83.918
Fox River Grove,IL,42.2036,-88.209
Foxborough,MA,42.0676,-71.234
Franconia,NH,44.1606,-71.7534
Franklin,MA,42.0945,-71.4028
Franklin,WI,42.8903,-88.0076
Franklin Lakes,NJ,41.0065,-74.2057
"Franklinville, N.J.",NJ,39.6304,-75.0507
Frederick,MD,39.4143,-77.4103
Fredericksburg,VA,38.3032,-77.4605
Fredonia,NY,42.4423,-79.3395
Freehold,NJ,40.1748,-74.2779
Freeport,IL,42.2964,-89.6307
Fremont,CA,37.5483,-121.9886
Fremont,IN,41.727,-85.0069
Fremont,OH,41.352,-83.1199
Fresno,CA,36.7378,-119.7871
Frisco,CO,39.5736,-106.095
Ft. Mitchell,KY,39.0206,-84.5694
Fullerton,CA,33.8704,-117.9243
Gadsden,AL,34.014,-86.0069
Gainesville,FL,29.6516,-82.3248
Gainesville,GA,34.2979,-83.8241
Gainsville,GA,34.2979,-83.8241
Gallatin,TN,36.3881,-86.4472
Garden City,NY,40.7262,-73.6346
Garden Grove,CA,33.773,-117.9375
Gardner,KS,38.81,-94.9275
Gardnerville,NV,38.9499,-119.7435
Garfield,NJ,40.8804,-74.1085
Garland,TX,32.9126,-96.6419
Gaylord,MI,45.0278,-84.67
Geneva,IL,41.9,-88.3
Geneva,NE,40.52,-97.59
Georgetown,KY,38.2092,-84.5583
Germantown,TN,35.0976,-89.782
Germantown,WI,43.23,-88.1
Gibsonia,PA,40.63,-79.96
Gig Harbor,WA,47.3234,-122.5815
Gilbert,AZ,33.3528,-111.789
"Gilbert, Ariz.",AZ,33.3528,-111.789
Gilbertsville,PA,40.32,-75.64
Gilford,NH,43.58,-71.36
Gilroy,CA,37.0052,-121.5688
Glastonbury,CT,41.7,-72.6
Glen Ellyn,IL,41.87,-88.06
Glendale,AZ,33.538,-112.1861
Glendale,NY,40.7,-73.89
Glenn Heights,TX,32.53,-96.8
Glennville,GA,31.93576,-81.92456
Glenview,IL,42.07642,-87.80062
Glenwood,NJ,41.20648,-74.49821
Golden,CO,39.75554,-105.22110
Gonzales,TX,29.50051,-97.45082
Gordonsville,VA,38.09375,-78.19695
Grafton,MA,42.20704,-71.68896
Graham,OH,40.09060,-83.92610
Grain Valley,MO,39.01195,-94.20078
Granbury,TX,32.44375,-97.79058
Grand Forks,ND,47.92526,-97.03285
Grand Haven,MI,43.06363,-86.22839
Grand Prairie,TX,32.74096,-97.01417
Grand Rapids,MI,42.96336,-85.66809
Grand Rapids,MN,47.22855,-93.53522
"Grand Rapids, Mich.",MI,42.96336,-85.66809
Granger,IN,41.73755,-86.10306
Granite Bay,CA,38.73656,-121.17606
Grant,MN,45.04052,-92.89577
Grass Valley,CA,39.21906,-121.05801
Gray Summit,MO,38.50838,-90.77874
Grayslake,IL,42.34863,-88.00674
Grayson,KY,38.23897,-82.93073
Great Neck,NY,40.79260,-73.73096
Green Bay,WI,44.51916,-88.01983
Green Brook,NJ,40.59455,-74.50293
Green Cove Springs,FL,29.99024,-81.67842
Green Lane,PA,40.38094,-75.48935
Greensboro,NC,36.07264,-79.79197
Greensburg,PA,40.29563,-79.54504
Greenville,SC,34.8526,-82.3940
Greenwich,CT,41.0266,-73.6283
Greenwood,IN,39.6139,-86.1069
Greenwood Village,CO,39.6172,-104.9000
Gresham,OR,45.5001,-122.4334
Grimes,IA,41.6775,-93.7849
Grinnell,IA,41.7436,-92.7238
Grosse Pointe Park,MI,42.3789,-82.9277
Grosse Pointe Woods,MI,42.4317,-82.9099
Groveland,CA,37.8399,-120.2399
Guaynabo,CA,,
Guilford,CT,41.2834,-72.6815
Gulfport,MS,30.3674,-89.0717
Gurnee,IL,42.3736,-87.9356
Hackettstown,NJ,40.8565,-74.9307
Haddonfield,NJ,39.8979,-75.0307
Haiku,HI,20.9167,-156.3333
Haleiwa,HI,21.5947,-158.1036
Hamilton,OH,39.3995,-84.5616
Hampton,GA,33.3907,-84.2907
Hampton,VA,37.0293,-76.3452
Hampton Falls,NH,42.9237,-70.8995
Hanover,NH,43.6995,-72.2887
Hanson,MA,42.0793,-70.8756
Harbor Springs,MI,45.4314,-84.9920
Harding,PA,41.3756,-75.8902
Harrisburg,PA,40.2732,-76.8867
Harselle,AL,,
Hart,MI,43.6867,-86.3778
Hatfield,PA,40.2995,-75.3807
Hauula,HI,21.6069,-157.9175
Haverville,MA,42.7765,-71.0778
Haymarket,VA,38.814,-77.6397
Hayward,CA,37.6688,-122.0808
Heber City,UT,40.508,-111.4127
Henderson,NV,36.0396,-114.9817
Henrico,VA,37.5696,-77.3597
Hermosa Beach,CA,33.8622,-118.4006
Hernando,MS,34.8298,-89.9926
Herndon,VA,38.9696,-77.3869
Herriman,UT,40.5099,-112.0002
Hershey,PA,40.2806,-76.6575
Hesperia,CA,34.4258,-117.3017
Hialeah,FL,25.8584,-80.2787
Highland,CA,34.1289,-117.2092
Highland Park,IL,42.1834,-87.8006
Highland Village,TX,33.0954,-97.0097
Highlands Ranch,CO,39.5594,-104.9694
Hilliard,OH,40.0306,-83.1416
Hillsborough,NJ,40.4709,-74.6307
Hillsgrove,PA,41.4684,-76.6005
Hinesburg,VT,44.3298,-73.0854
Hingham,MA,42.2357,-70.8892
"Hinsdale, Ill.",IL,41.8028,-87.9284
Hobbs,NM,32.7001,-103.1402
Hollis,NH,42.7565,-71.5973
Holly Springs,NC,35.6543,-78.8306
Homestead,FL,25.4684,-80.4778
Homewood,AL,33.479,-86.8
Hong Kong,CA,22.3193,114.1694
Honolulu,HI,21.3069,-157.8583
Hooper,NE,41.6914,-96.4764
Hopewell,VA,37.2960,-77.2969
Hopewell Junction,NY,41.5834,-73.7801
Hopkins,MN,44.9250,-93.3908
Hopkinton,MA,42.2245,-71.5245
Hoschton,GA,34.0954,-83.7510
Houston,TX,29.7604,-95.3698
Houston,"Texas, TX",29.7604,-95.3698
Hudson,FL,28.3597,-82.6843
Humble,TX,29.9947,-95.2677
Huntersville,NC,35.4107,-80.8406
Huntington,IN,40.8834,-85.4950
Huntington Beach,CA,33.6902,-118.0074
Huntington Beach,"Calif., CA",33.6902,-118.0074
Huntington Station,NY,40.8509,-73.4068
Huntingtown,MD,38.6015,-76.5705
Huntsville,AL,34.7304,-86.5861
Huron,OH,41.3934,-82.5685
Hutchinson,MN,45.0500,-94.3750
Idalou,TX,33.6467,-101.7007
Incline Village,NV,39.2449,-119.9502
Indian Harbour Beach,FL,28.1578,-80.6006
Indianapolis,IN,39.7684,-86.1581
Indianapolis,"Ind., IN",39.7684,-86.1581
Inglewood,CA,33.9616,-118.3532
Inver Grove Heights,MN,44.8475,-93.0408
Inverness,FL,28.8347,-82.3334
Irmo,SC,34.0885,-81.1895
Iron River,MI,46.0899,-88.6418
Ironton,MO,37.6167,-90.6250
Irvine,CA,33.6846,-117.8265
Irwin,PA,40.3201,-79.6295
Isanti,MN,45.5297,-93.3380
Isla Vista,CA,34.4128,-119.8604
Itasca,IL,41.9653,-88.0095
Jackson,MI,42.2450,-84.4000
Jackson,NH,44.1284,-71.2006
Jackson,WY,43.4799,-110.7624
Jackson Hole,WY,43.5833,-110.6667
Jacksonsville,FL,30.3322,-81.6557
Jacksonville,FL,30.3322,-81.6557
Jamaica,NY,40.6900,-73.8000
Jamestown,OH,39.6767,-83.7400
Jamestown,RI,41.4959,-71.3806
